CustomerID,Province,Risk_Score,Nb_releves,Fraudes,Priorité
C001310,Rabat,82.65,31,5,Critique
C001177,Khémisset,82.52,13,1,Critique
C000476,Rabat,82.52,13,1,Critique
C001406,Kénitra,82.5,25,2,Critique
C001840,Rabat,82.5,39,1,Critique
C001564,Sidi Kacem,82.46,36,1,Critique
C001662,Salé,82.43,37,1,Critique
C000317,Kénitra,82.35,20,5,Critique
C002014,Salé,82.34,31,2,Critique
C002002,Sidi Kacem,82.29,15,1,Critique
C001883,Rabat,82.25,24,1,Critique
C001648,Salé,82.23,14,1,Critique
C001259,Kénitra,82.23,27,1,Critique
C000355,Kénitra,82.21,31,2,Critique
C001245,Salé,82.21,23,1,Critique
C001365,Rabat,82.19,19,1,Critique
C000565,Skhirate-Témara,82.18,30,1,Critique
C000740,Rabat,82.15,26,1,Critique
C001555,Skhirate-Témara,82.11,28,1,Critique
C001388,Kénitra,82.11,19,1,Critique
C001768,Kénitra,82.1,33,1,Critique
C001743,Skhirate-Témara,82.09,37,1,Critique
C001805,Rabat,82.09,27,1,Critique
C000066,Kénitra,82.06,38,1,Critique
C001560,Rabat,82.05,24,1,Critique
C001632,Khémisset,82.0,36,1,Critique
C000636,Skhirate-Témara,81.99,33,1,Critique
C000878,Kénitra,81.96,32,1,Critique
C001814,Rabat,81.94,33,1,Critique
C001639,Rabat,81.9,25,1,Critique
C000601,Kénitra,81.86,24,0,Critique
C000195,Rabat,81.84,35,1,Critique
C000881,Skhirate-Témara,81.83,36,1,Critique
C001159,Kénitra,81.8,28,0,Critique
C001161,Rabat,81.79,37,1,Critique
C000519,Kénitra,81.78,21,1,Critique
C000407,Khémisset,81.76,21,1,Critique
C001821,Rabat,81.73,28,1,Critique
C001503,Rabat,81.7,23,1,Critique
C000072,Kénitra,81.66,17,1,Critique
C001461,Khémisset,81.61,30,1,Critique
C001391,Rabat,81.59,10,1,Critique
C001378,Khémisset,81.59,15,1,Critique
C000691,Skhirate-Témara,81.53,20,1,Critique
C001745,Salé,81.49,31,1,Critique
C000107,Rabat,81.47,17,1,Critique
C000908,Salé,81.43,38,1,Critique
C001292,Rabat,81.33,36,1,Critique
C000904,Salé,81.31,39,1,Critique
C000389,Kénitra,81.31,34,1,Critique
C000873,Salé,81.3,16,1,Critique
C001584,Skhirate-Témara,81.24,34,1,Critique
C000041,Kénitra,81.23,24,1,Critique
C001781,Kénitra,81.05,31,1,Critique
C001079,Kénitra,81.03,22,1,Critique
C001848,Rabat,81.01,35,1,Critique
C001577,Sidi Kacem,81.0,34,1,Critique
C001189,Skhirate-Témara,80.91,39,1,Critique
C001080,Rabat,80.85,13,1,Critique
C001029,Salé,80.84,27,1,Critique
C000669,Kénitra,80.78,35,1,Critique
C000747,Skhirate-Témara,80.78,24,1,Critique
C000456,Skhirate-Témara,80.76,35,1,Critique
C000903,Sidi Kacem,80.74,21,4,Critique
C001134,Rabat,80.71,33,1,Critique
C001859,Rabat,80.68,38,2,Critique
C000729,Salé,80.65,39,1,Critique
C000022,Salé,80.58,37,0,Critique
C000408,Sidi Slimane,80.5,17,5,Critique
C001957,Salé,80.45,38,0,Critique
C000830,Kénitra,80.45,26,0,Critique
C000557,Rabat,80.42,36,1,Critique
C000445,Kénitra,80.41,18,0,Critique
C001056,Kénitra,80.41,15,1,Critique
C001476,Kénitra,80.36,35,1,Critique
C000403,Rabat,80.33,37,1,Critique
C001061,Rabat,80.32,37,1,Critique
C001027,Salé,80.29,39,1,Critique
C000088,Skhirate-Témara,80.28,22,1,Critique
C001540,Salé,80.28,24,1,Critique
C000329,Rabat,80.17,36,0,Critique
C001541,Rabat,80.17,30,0,Critique
C000087,Salé,80.07,22,1,Critique
C000393,Kénitra,79.99,34,1,Critique
C000741,Sidi Kacem,79.99,31,9,Critique
C001636,Kénitra,79.97,34,1,Critique
C001488,Salé,79.95,39,1,Critique
C000004,Kénitra,79.91,20,1,Critique
C000024,Kénitra,79.86,28,1,Critique
C000038,Salé,79.84,33,1,Critique
C000395,Skhirate-Témara,79.81,34,1,Critique
C001206,Rabat,79.79,30,1,Critique
C001777,Khémisset,79.77,28,1,Critique
C001680,Khémisset,79.6,27,1,Critique
C000677,Rabat,79.55,35,0,Critique
C001691,Skhirate-Témara,79.55,38,0,Critique
C000887,Kénitra,79.53,32,1,Critique
C000839,Salé,79.47,29,1,Critique
C000301,Salé,79.47,25,4,Critique
C000420,Skhirate-Témara,79.34,37,0,Critique
C001801,Skhirate-Témara,79.31,40,1,Critique
C000187,Kénitra,79.27,27,2,Critique
C001030,Kénitra,79.02,20,5,Critique
C001276,Rabat,78.98,34,1,Critique
C000423,Rabat,78.92,38,1,Critique
C000097,Salé,78.9,36,1,Critique
C001764,Kénitra,78.85,34,2,Critique
C000370,Skhirate-Témara,78.83,11,0,Critique
C001702,Skhirate-Témara,78.82,29,1,Critique
C001960,Khémisset,78.8,15,1,Critique
C000511,Salé,78.59,36,2,Critique
C001238,Sidi Kacem,78.3,37,24,Critique
C001510,Sidi Slimane,78.05,17,0,Critique
C000575,Salé,77.82,39,1,Critique
C001573,Rabat,77.79,20,1,Critique
C001251,Salé,77.52,36,1,Critique
C000594,Sidi Kacem,77.46,21,1,Critique
C000396,Salé,77.2,30,1,Critique
C000259,Salé,77.18,37,1,Critique
C001347,Salé,77.09,27,1,Critique
C000909,Rabat,77.0,22,1,Critique
C001929,Skhirate-Témara,76.96,21,0,Critique
C002016,Rabat,76.74,14,1,Critique
C000235,Kénitra,76.73,35,1,Critique
C000354,Rabat,76.71,20,0,Critique
C001344,Salé,76.56,35,0,Critique
C000399,Kénitra,76.46,21,1,Critique
C000855,Sidi Kacem,76.36,25,1,Critique
C001679,Skhirate-Témara,76.27,34,1,Critique
C001187,Rabat,75.84,29,0,Critique
C001847,Rabat,75.78,38,0,Critique
C000288,Kénitra,75.68,14,0,Critique
C001665,Khémisset,75.64,10,0,Critique
C000508,Rabat,75.44,26,8,Critique
C000127,Salé,75.25,37,1,Critique
C000876,Kénitra,75.14,36,1,Critique
C001324,Rabat,74.97,30,0,Élevé
C001395,Rabat,74.54,21,0,Élevé
C001169,Sidi Kacem,74.28,32,0,Élevé
C001910,Rabat,74.17,37,1,Élevé
C000300,Kénitra,74.16,39,0,Élevé
C000001,Salé,73.77,21,0,Élevé
C001203,Kénitra,73.73,25,20,Élevé
C000468,Rabat,73.19,12,1,Élevé
C001083,Salé,73.11,29,0,Élevé
C000783,Salé,72.4,14,0,Élevé
C000578,Rabat,72.33,22,1,Élevé
C001534,Rabat,72.1,25,0,Élevé
C000142,Salé,71.76,28,2,Élevé
C001514,Rabat,71.75,34,2,Élevé
C001039,Kénitra,71.67,39,0,Élevé
C001935,Salé,71.2,27,23,Élevé
C000147,Sidi Kacem,71.06,39,1,Élevé
C001529,Rabat,71.04,15,3,Élevé
C001762,Salé,70.9,28,0,Élevé
C000618,Rabat,70.87,29,0,Élevé
C000293,Salé,70.59,18,3,Élevé
C001866,Kénitra,70.58,31,0,Élevé
C000367,Khémisset,70.53,20,1,Élevé
C001987,Rabat,70.23,28,1,Élevé
C000586,Salé,69.95,11,0,Élevé
C001761,Rabat,69.88,33,0,Élevé
C000803,Kénitra,69.66,34,0,Élevé
C001356,Kénitra,69.62,12,1,Élevé
C001492,Salé,69.56,31,0,Élevé
C001291,Kénitra,69.46,20,0,Élevé
C001852,Kénitra,69.36,39,1,Élevé
C001182,Khémisset,69.31,29,0,Élevé
C001150,Kénitra,69.22,17,0,Élevé
C000892,Kénitra,68.74,20,1,Élevé
C000584,Rabat,68.66,30,1,Élevé
C000530,Skhirate-Témara,68.62,36,1,Élevé
C001272,Rabat,68.49,26,1,Élevé
C000894,Rabat,68.01,19,0,Élevé
C000797,Sidi Slimane,67.4,39,0,Élevé
C000572,Rabat,67.01,31,0,Élevé
C001096,Kénitra,66.87,26,1,Élevé
C000684,Kénitra,66.45,36,22,Élevé
C000243,Skhirate-Témara,65.99,39,0,Élevé
C001608,Kénitra,65.76,22,0,Élevé
C001265,Kénitra,65.74,33,0,Élevé
C000236,Kénitra,65.54,22,0,Élevé
C001158,Rabat,65.16,33,0,Élevé
C001877,Rabat,65.13,19,0,Élevé
C001932,Rabat,64.97,27,23,Élevé
C000827,Skhirate-Témara,64.82,36,0,Élevé
C000994,Salé,64.74,23,0,Élevé
C001396,Rabat,64.51,21,0,Élevé
C001860,Rabat,63.7,15,0,Élevé
C000504,Sidi Slimane,63.48,27,0,Élevé
C001645,Kénitra,63.45,14,0,Élevé
C001985,Skhirate-Témara,63.01,28,0,Élevé
C001486,Salé,62.86,26,0,Élevé
C000782,Kénitra,62.66,39,0,Élevé
C000991,Rabat,62.63,14,0,Élevé
C001721,Kénitra,62.62,17,0,Élevé
C000564,Salé,62.13,30,0,Élevé
C000503,Kénitra,62.1,13,0,Élevé
C000470,Kénitra,61.77,38,0,Élevé
C001548,Salé,61.75,22,0,Élevé
C000444,Khémisset,61.58,12,0,Élevé
C001846,Salé,61.52,39,0,Élevé
C001820,Salé,61.33,27,0,Élevé
C001975,Rabat,61.18,31,0,Élevé
C000104,Kénitra,61.08,10,0,Élevé
C000007,Skhirate-Témara,60.99,29,0,Élevé
C001769,Rabat,60.95,17,7,Élevé
C000633,Kénitra,60.46,27,0,Élevé
C001442,Skhirate-Témara,60.43,10,0,Élevé
C000724,Rabat,60.07,26,1,Élevé
C001600,Rabat,59.69,24,0,Élevé
C001997,Rabat,59.53,38,1,Élevé
C001705,Salé,58.91,24,0,Élevé
C001315,Khémisset,58.84,28,23,Élevé
C001601,Skhirate-Témara,58.83,34,0,Élevé
C000202,Kénitra,58.67,21,0,Élevé
C001688,Salé,58.57,37,0,Élevé
C000805,Salé,58.57,24,0,Élevé
C000874,Rabat,58.43,20,0,Élevé
C000590,Salé,57.97,27,0,Élevé
C001309,Skhirate-Témara,57.85,22,1,Élevé
C001950,Rabat,57.71,23,0,Élevé
C000371,Rabat,57.64,33,0,Élevé
C001865,Skhirate-Témara,57.58,37,0,Élevé
C000134,Salé,57.45,35,24,Élevé
C000010,Skhirate-Témara,57.29,14,2,Élevé
C000136,Khémisset,56.62,19,0,Élevé
C001437,Salé,55.7,22,0,Élevé
C000342,Rabat,55.05,27,1,Élevé
C000309,Kénitra,54.68,34,0,Élevé
C000069,Rabat,54.64,37,0,Élevé
C000328,Skhirate-Témara,54.29,19,1,Élevé
C000787,Khémisset,54.23,33,0,Élevé
C000751,Sidi Slimane,53.98,24,1,Élevé
C001980,Kénitra,53.94,16,0,Élevé
C000275,Skhirate-Témara,53.79,28,1,Élevé
C000643,Kénitra,53.61,20,0,Élevé
C001780,Rabat,53.57,13,0,Élevé
C000936,Rabat,53.02,26,0,Élevé
C000901,Rabat,52.99,28,0,Élevé
C001191,Kénitra,52.75,36,0,Élevé
C001730,Salé,52.73,38,0,Élevé
C001900,Kénitra,51.93,26,0,Élevé
C000981,Salé,51.9,32,22,Élevé
C000789,Skhirate-Témara,51.71,15,0,Élevé
C000676,Salé,51.03,37,28,Élevé
C001268,Rabat,50.43,12,0,Élevé
C001451,Skhirate-Témara,50.14,31,1,Élevé
C000788,Khémisset,49.72,27,0,Modéré
C000731,Kénitra,49.72,29,0,Modéré
C000485,Skhirate-Témara,49.59,31,0,Modéré
C001004,Rabat,49.56,35,0,Modéré
C001603,Rabat,48.97,14,0,Modéré
C000580,Salé,48.88,35,21,Modéré
C001590,Skhirate-Témara,48.73,11,1,Modéré
C000341,Skhirate-Témara,48.52,38,0,Modéré
C000277,Rabat,48.45,33,0,Modéré
C000409,Kénitra,48.1,25,1,Modéré
C000009,Sidi Slimane,47.94,21,0,Modéré
C000880,Salé,47.92,23,0,Modéré
C001872,Kénitra,47.62,19,0,Modéré
C002024,Kénitra,47.59,10,6,Modéré
C001467,Skhirate-Témara,47.24,11,0,Modéré
C000813,Skhirate-Témara,46.74,15,0,Modéré
C001448,Salé,46.73,27,0,Modéré
C000529,Rabat,46.7,22,0,Modéré
C001470,Skhirate-Témara,46.67,36,0,Modéré
C001017,Kénitra,46.38,15,0,Modéré
C000956,Skhirate-Témara,46.28,14,1,Modéré
C001092,Skhirate-Témara,45.85,13,6,Modéré
C001417,Kénitra,45.78,25,0,Modéré
C001976,Sidi Kacem,45.52,27,0,Modéré
C002012,Sidi Kacem,45.05,39,0,Modéré
C001827,Kénitra,44.46,37,0,Modéré
C000719,Salé,43.86,26,1,Modéré
C001432,Skhirate-Témara,43.77,30,0,Modéré
C000518,Sidi Kacem,43.71,35,0,Modéré
C001332,Rabat,43.62,39,0,Modéré
C001759,Rabat,43.58,32,0,Modéré
C000721,Khémisset,43.42,31,0,Modéré
C001706,Kénitra,43.38,14,0,Modéré
C001667,Salé,43.34,21,0,Modéré
C001647,Skhirate-Témara,42.17,29,0,Modéré
C001504,Rabat,42.1,21,0,Modéré
C001148,Khémisset,42.04,10,0,Modéré
C001286,Salé,41.52,28,0,Modéré
C001135,Skhirate-Témara,41.03,30,0,Modéré
C000944,Sidi Slimane,40.84,28,0,Modéré
C001085,Kénitra,40.75,21,0,Modéré
C000627,Khémisset,40.46,20,0,Modéré
C000081,Rabat,40.42,25,0,Modéré
C001263,Salé,40.37,21,0,Modéré
C000253,Sidi Slimane,40.02,14,0,Modéré
C001246,Kénitra,39.97,10,1,Modéré
C000853,Salé,39.6,14,0,Modéré
C001482,Salé,39.01,35,0,Modéré
C000467,Kénitra,39.0,16,0,Modéré
C000401,Khémisset,38.87,17,0,Modéré
C001686,Rabat,38.64,32,0,Modéré
C000384,Rabat,38.45,32,0,Modéré
C000778,Salé,38.44,25,0,Modéré
C000746,Salé,38.29,33,0,Modéré
C001839,Khémisset,38.02,17,0,Modéré
C001984,Skhirate-Témara,37.93,30,0,Modéré
C000269,Khémisset,37.66,21,0,Modéré
C001167,Sidi Kacem,37.59,33,0,Modéré
C001904,Rabat,37.57,26,0,Modéré
C001809,Salé,37.47,25,0,Modéré
C000382,Skhirate-Témara,37.28,25,1,Modéré
C000000,Khémisset,37.25,30,0,Modéré
C001857,Skhirate-Témara,37.25,28,1,Modéré
C001439,Kénitra,36.89,19,0,Modéré
C000426,Khémisset,36.49,33,0,Modéré
C001042,Khémisset,36.42,25,0,Modéré
C001638,Rabat,36.4,39,0,Modéré
C001413,Skhirate-Témara,36.27,28,0,Modéré
C000969,Sidi Kacem,36.01,27,0,Modéré
C000193,Sidi Kacem,35.73,22,0,Modéré
C001037,Rabat,35.68,21,15,Modéré
C000775,Salé,35.56,25,0,Modéré
C001181,Salé,35.54,26,0,Modéré
C001646,Salé,35.29,26,0,Modéré
C001947,Skhirate-Témara,35.2,15,0,Modéré
C000011,Skhirate-Témara,35.16,33,0,Modéré
C001602,Skhirate-Témara,35.15,21,0,Modéré
C000921,Rabat,35.08,14,0,Modéré
C000089,Salé,34.91,16,0,Modéré
C001126,Salé,34.39,28,0,Modéré
C000307,Khémisset,34.35,12,0,Modéré
C001367,Khémisset,34.3,33,0,Modéré
C000849,Skhirate-Témara,34.29,38,1,Modéré
C000799,Khémisset,34.22,38,0,Modéré
C001195,Salé,34.07,13,0,Modéré
C000703,Rabat,34.02,32,0,Modéré
C001264,Skhirate-Témara,33.97,36,0,Modéré
C000946,Salé,33.96,34,0,Modéré
C001119,Salé,33.93,31,0,Modéré
C001358,Kénitra,33.83,15,0,Modéré
C001682,Salé,33.67,30,0,Modéré
C001936,Kénitra,33.63,34,0,Modéré
C000619,Rabat,33.59,31,0,Modéré
C000452,Skhirate-Témara,33.46,27,10,Modéré
C000375,Kénitra,33.16,16,0,Modéré
C000324,Sidi Kacem,33.1,15,0,Modéré
C001285,Khémisset,33.09,27,0,Modéré
C001654,Kénitra,33.01,24,0,Modéré
C001473,Khémisset,32.99,24,0,Modéré
C000045,Khémisset,32.95,37,0,Modéré
C000607,Rabat,32.93,24,0,Modéré
C001509,Khémisset,32.79,24,0,Modéré
C001736,Kénitra,32.7,37,0,Modéré
C000596,Salé,32.58,14,0,Modéré
C001374,Kénitra,32.53,22,1,Modéré
C000696,Rabat,32.43,32,0,Modéré
C001754,Kénitra,32.43,11,0,Modéré
C000539,Sidi Kacem,32.3,36,0,Modéré
C000272,Kénitra,32.19,31,1,Modéré
C001747,Rabat,32.03,27,0,Modéré
C001837,Salé,31.97,29,0,Modéré
C000025,Kénitra,31.93,35,0,Modéré
C000003,Salé,31.89,39,0,Modéré
C001403,Khémisset,31.85,29,0,Modéré
C000919,Salé,31.83,22,0,Modéré
C000534,Sidi Kacem,31.7,33,0,Modéré
C001956,Kénitra,31.61,34,0,Modéré
C000062,Kénitra,31.59,21,0,Modéré
C000101,Salé,31.59,30,0,Modéré
C001517,Rabat,31.46,37,0,Modéré
C000610,Salé,31.46,26,0,Modéré
C000997,Salé,31.45,39,0,Modéré
C001472,Kénitra,31.35,17,0,Modéré
C000786,Sidi Slimane,31.29,36,0,Modéré
C000582,Salé,31.27,26,0,Modéré
C000015,Skhirate-Témara,31.16,36,0,Modéré
C001200,Skhirate-Témara,31.11,38,0,Modéré
C001231,Rabat,31.1,37,0,Modéré
C000158,Khémisset,31.08,28,0,Modéré
C001327,Skhirate-Témara,31.05,39,0,Modéré
C000758,Sidi Kacem,31.04,30,0,Modéré
C000757,Salé,31.04,28,0,Modéré
C001799,Kénitra,30.9,29,0,Modéré
C001961,Kénitra,30.86,20,0,Modéré
C000974,Rabat,30.82,39,0,Modéré
C001360,Salé,30.78,35,0,Modéré
C000374,Sidi Kacem,30.68,35,0,Modéré
C001619,Kénitra,30.67,27,0,Modéré
C001101,Khémisset,30.6,34,0,Modéré
C001678,Rabat,30.56,29,0,Modéré
C000379,Khémisset,30.44,13,0,Modéré
C000752,Kénitra,30.43,29,0,Modéré
C000179,Salé,30.36,33,0,Modéré
C000550,Kénitra,30.33,38,0,Modéré
C000344,Sidi Kacem,30.31,33,0,Modéré
C001317,Rabat,30.3,36,0,Modéré
C000090,Skhirate-Témara,30.24,23,0,Modéré
C001977,Rabat,30.22,37,0,Modéré
C000725,Rabat,30.21,33,0,Modéré
C000021,Khémisset,30.16,23,0,Modéré
C001589,Skhirate-Témara,30.15,35,0,Modéré
C001423,Kénitra,29.98,39,0,Modéré
C000343,Salé,29.96,27,0,Modéré
C001433,Kénitra,29.92,30,0,Modéré
C000965,Rabat,29.89,20,0,Modéré
C000479,Rabat,29.83,31,0,Modéré
C001652,Salé,29.8,17,0,Modéré
C000377,Salé,29.68,19,0,Modéré
C000889,Rabat,29.67,33,0,Modéré
C001073,Rabat,29.67,39,0,Modéré
C001218,Rabat,29.66,31,0,Modéré
C000701,Khémisset,29.66,15,0,Modéré
C000110,Skhirate-Témara,29.64,15,0,Modéré
C001967,Sidi Kacem,29.61,20,0,Modéré
C001435,Skhirate-Témara,29.6,35,0,Modéré
C000986,Salé,29.59,37,0,Modéré
C001116,Sidi Kacem,29.56,11,0,Modéré
C001505,Skhirate-Témara,29.51,36,0,Modéré
C000872,Salé,29.45,31,0,Modéré
C001597,Salé,29.4,26,0,Modéré
C001058,Khémisset,29.4,36,0,Modéré
C000254,Skhirate-Témara,29.38,18,0,Modéré
C000868,Kénitra,29.38,27,0,Modéré
C001861,Khémisset,29.37,30,0,Modéré
C000029,Sidi Kacem,29.36,39,0,Modéré
C001631,Salé,29.32,22,0,Modéré
C001244,Salé,29.32,13,0,Modéré
C002018,Salé,29.31,36,0,Modéré
C000473,Rabat,29.29,12,0,Modéré
C000711,Kénitra,29.26,21,0,Modéré
C001853,Salé,29.26,12,0,Modéré
C001091,Kénitra,29.23,14,0,Modéré
C000685,Khémisset,29.21,29,0,Modéré
C001072,Salé,29.18,34,0,Modéré
C001909,Skhirate-Témara,29.08,27,0,Modéré
C000457,Salé,29.07,35,0,Modéré
C001922,Salé,29.04,23,0,Modéré
C000840,Kénitra,29.02,36,0,Modéré
C000622,Sidi Kacem,28.95,37,0,Modéré
C001088,Kénitra,28.93,32,0,Modéré
C000330,Salé,28.92,31,0,Modéré
C000413,Skhirate-Témara,28.9,34,0,Modéré
C001693,Kénitra,28.88,13,0,Modéré
C000271,Khémisset,28.86,37,0,Modéré
C000261,Salé,28.82,17,0,Modéré
C001949,Sidi Kacem,28.82,31,0,Modéré
C001254,Kénitra,28.8,31,0,Modéré
C001103,Skhirate-Témara,28.8,31,0,Modéré
C001087,Kénitra,28.79,30,0,Modéré
C000400,Skhirate-Témara,28.78,15,0,Modéré
C001812,Kénitra,28.77,34,0,Modéré
C000896,Rabat,28.77,24,0,Modéré
C001676,Kénitra,28.76,15,0,Modéré
C001819,Salé,28.72,29,0,Modéré
C001592,Khémisset,28.71,27,0,Modéré
C000363,Skhirate-Témara,28.7,22,0,Modéré
C000606,Khémisset,28.7,17,0,Modéré
C001197,Kénitra,28.69,18,0,Modéré
C000907,Kénitra,28.66,39,0,Modéré
C000739,Kénitra,28.65,22,0,Modéré
C000076,Skhirate-Témara,28.65,19,0,Modéré
C000563,Salé,28.62,38,0,Modéré
C001390,Khémisset,28.57,27,0,Modéré
C001824,Kénitra,28.56,37,0,Modéré
C001109,Sidi Slimane,28.55,35,0,Modéré
C000390,Rabat,28.54,15,9,Modéré
C001018,Kénitra,28.53,10,0,Modéré
C001328,Salé,28.52,20,0,Modéré
C001434,Sidi Slimane,28.51,13,0,Modéré
C000150,Salé,28.51,24,0,Modéré
C001611,Rabat,28.49,23,0,Modéré
C001241,Salé,28.48,38,0,Modéré
C001617,Khémisset,28.47,38,0,Modéré
C000832,Sidi Kacem,28.42,10,0,Modéré
C000339,Kénitra,28.42,27,0,Modéré
C001790,Salé,28.41,39,0,Modéré
C001893,Rabat,28.41,24,0,Modéré
C000515,Salé,28.38,28,0,Modéré
C001553,Kénitra,28.38,38,0,Modéré
C000858,Kénitra,28.37,24,0,Modéré
C000100,Skhirate-Témara,28.37,33,0,Modéré
C001453,Rabat,28.34,38,0,Modéré
C001483,Sidi Kacem,28.32,35,0,Modéré
C001695,Skhirate-Témara,28.32,30,0,Modéré
C000255,Skhirate-Témara,28.32,28,0,Modéré
C000879,Kénitra,28.26,25,0,Modéré
C001892,Rabat,28.21,18,0,Modéré
C000756,Kénitra,28.19,35,0,Modéré
C000225,Skhirate-Témara,28.16,11,0,Modéré
C001788,Salé,28.16,25,0,Modéré
C001452,Sidi Slimane,28.13,26,0,Modéré
C000808,Kénitra,28.09,11,0,Modéré
C000093,Kénitra,28.09,15,0,Modéré
C000240,Salé,28.09,37,0,Modéré
C002020,Salé,28.04,20,0,Modéré
C001557,Rabat,28.04,23,0,Modéré
C001019,Sidi Kacem,28.03,26,0,Modéré
C001575,Kénitra,28.02,21,0,Modéré
C000629,Skhirate-Témara,27.98,12,0,Modéré
C001714,Salé,27.98,37,0,Modéré
C001875,Skhirate-Témara,27.98,19,0,Modéré
C000844,Salé,27.96,36,0,Modéré
C001944,Sidi Kacem,27.95,37,0,Modéré
C001404,Khémisset,27.94,36,1,Modéré
C000535,Rabat,27.93,39,0,Modéré
C000397,Salé,27.93,38,0,Modéré
C001023,Rabat,27.92,39,0,Modéré
C001139,Kénitra,27.92,20,0,Modéré
C000690,Salé,27.92,25,0,Modéré
C000204,Kénitra,27.91,37,0,Modéré
C001383,Salé,27.88,14,0,Modéré
C000080,Salé,27.87,26,0,Modéré
C000052,Rabat,27.85,32,0,Modéré
C001008,Kénitra,27.78,30,0,Modéré
C001445,Skhirate-Témara,27.69,39,0,Modéré
C000885,Kénitra,27.66,37,0,Modéré
